frame,time_s,shoulder_tilt_deg,clavicle_tilt_deg,left_shoulder_height,right_shoulder_height,shoulder_imbalance,shoulder_width_px,lateral_shift_pct,trunk_tilt_deg
0,0.0,-180.0,-180.0,-37.225138902664185,-37.225138902664185,0.0,20.30462074279785,25.0,91.3219756285025
2,0.06705783738474434,-52.431409570469995,-0.0,-12.383563756942749,5.503806114196777,-17.887369871139526,13.75951449076365,20.00000000000066,86.12147572048617
4,0.13411567476948869,15.945395539620824,44.99999931610574,-34.95526850223541,-41.613414883613586,6.658146381378174,23.303512891133778,57.14285714285645,90.0
6,0.20117351215423304,-34.992018661659124,63.4349475143633,-47.32457780838013,-37.58128237724304,-9.743295431137085,13.918994267781727,79.99999999999967,87.43075883335322
8,0.26823134953897737,9.462322208025617,26.56505117707799,-36.50523662567139,-39.82389450073242,3.318657875061035,19.91194725036621,41.66666666666667,88.68811221749588
10,0.3352891869237217,9.462322208025617,18.43494882292201,-34.975303173065186,-39.97177505493164,4.996471881866455,29.97883129119873,16.666666666666664,87.7974018382342
12,0.4023470243084661,11.768288659446561,26.565050631023322,-33.355209827423096,-41.69401228427887,8.338802456855774,40.02625274658203,4.166666666666289,88.67802430897652
14,0.4694048616932104,7.431408146873321,18.434949233909165,-36.56176686286926,-41.54746234416962,4.985695481300354,38.22366444269824,2.1739130434781573,89.56263614293631
16,0.5364626990779547,7.8533129329741485,26.56505008660685,-36.746007442474365,-43.42709970474243,6.681092262268066,48.43792120615649,8.620689655172479,90.43736388833001
18,0.6035205364626991,11.976132444203355,18.43494882292201,-31.57738733291626,-43.211161613464355,11.633774280548096,54.84493589401245,7.575757575757576,91.30195267257888
20,0.6705783738474435,11.633633998940438,18.43494882292201,-29.817864418029785,-41.413700580596924,11.595836162567139,56.322632789611816,8.823529411764707,91.30195267257888
22,0.7376362112321878,13.324530955666484,18.434948413279898,-26.677682876586914,-41.68387949466705,15.00619661808014,63.35949834187841,7.894736842104885,91.74894608620922
24,0.8046940486169322,11.592174873217177,14.036242825949163,-28.371458292007446,-41.72273278236389,13.351274490356445,65.0874662399292,3.8461538461538463,90.0
26,0.8717518860016764,10.71312252872168,18.43494801142744,-31.983846426010132,-43.76736879348755,11.783522367477417,62.284335454305165,17.567567567567647,87.83074230795684
28,0.9388097233864208,4.184916224120037,26.565051721183963,-35.14850556850433,-40.16972064971924,5.021215081214905,68.62327114741015,20.7317073170732,86.50536115550769
30,1.0058675607711651,4.398705147087197,26.565050089556937,-36.84568738937378,-41.87009930610657,5.024411916732788,65.31735801696777,24.358974358974475,86.09950607310306
32,1.0729253981559095,5.856013585428958,18.43494882292201,-33.942298889160156,-40.73075866699219,6.788459777832031,66.1874828338623,21.794871794871796,86.47854662307776
34,1.1399832355406538,7.305759533310827,18.43494882292201,-32.05086708068848,-40.48530578613281,8.434438705444336,65.78862190246582,21.794871794871796,86.89397290438357
36,1.2070410729253982,3.4682290962699844,26.565050099663228,-37.1913046836853,-40.57233238220215,3.3810276985168457,55.786959648132324,25.757575757575623,86.9413022823846
38,1.2740989103101426,3.9451864126220006,26.56505224693412,-35.7516610622406,-39.15658116340637,3.4049201011657715,49.37133916219068,25.86206896551705,87.37759866170484
40,1.341156747694887,1.9749339185238828,-0.0,-37.35726308822632,-39.055320501327515,1.6980574131011963,49.24366728464747,22.413793103448498,87.8307423088424
42,1.4082145850796313,2.2906100426385296,45.0,-35.71219253540039,-37.41277313232422,1.7005805969238281,42.5145149230957,30.0,87.00965502483463
44,1.4752724224643756,-0.0,-0.0,-37.411579847335815,-37.411579847335815,0.0,37.41158072153735,36.363636363636395,87.03176590089323
46,1.54233025984912,-4.085616875250141,-0.0,-37.360780000686646,-35.66256272792816,-1.6982172727584839,23.775041262308605,64.28571428571566,87.47388314741227
